# binary black hole Inspiral Simulation
# m1_solar=36.0
# m2_solar=29.0
# r_horizon_1_m=106320.21775440763
# r_horizon_2_m=85646.84207993947
# distance_mpc=410.0
# pn_order=2.5
# eccentricity=0.5
t_sec,bh1_x_m,bh1_y_m,bh1_z_m,bh2_x_m,bh2_y_m,bh2_z_m,separation_m,velocity_m_s,f_gw_hz,phase_rad,h_plus,h_cross
0.0000000000e+00,2.2307692308e+06,0.0000000000e+00,0.0000000000e+00,-2.7692307692e+06,-0.0000000000e+00,-0.0000000000e+00,5.0000000000e+06,2.9371022213e+07,2.6443210521e+00,0.0000000000e+00,1.4395264544e-22,0.0000000000e+00
1.8399527787e-04,2.2307664568e+06,2.4110719302e+03,0.0000000000e+00,-2.7692273256e+06,-2.9930548099e+03,-0.0000000000e+00,4.9999967029e+06,2.9371058519e+07,2.6443236677e+00,1.0808262712e-03,1.4395240404e-22,3.1117556486e-25
3.6799055574e-04,2.2307581347e+06,4.8221373523e+03,0.0000000000e+00,-2.7692169948e+06,-5.9861015408e+03,-0.0000000000e+00,4.9999868114e+06,2.9371174687e+07,2.6443315146e+00,2.1616551639e-03,1.4395167984e-22,6.2235166163e-25
5.5198583362e-04,2.2307442647e+06,7.2331900559e+03,0.0000000000e+00,-2.7691997768e+06,-8.9791324832e+03,-0.0000000000e+00,4.9999703256e+06,2.9371370717e+07,2.6443445928e+00,3.2424894333e-03,1.4395047282e-22,9.3352886063e-25
7.3598111149e-04,2.2307248465e+06,9.6442238303e+03,0.0000000000e+00,-2.7691756716e+06,-1.1972139927e+04,-0.0000000000e+00,4.9999472455e+06,2.9371646608e+07,2.6443629026e+00,4.3233318344e-03,1.4394878297e-22,1.2447077321e-24
9.1997638936e-04,2.2306998803e+06,1.2055232465e+04,0.0000000000e+00,-2.7691446791e+06,-1.4965116163e+04,-0.0000000000e+00,4.9999175711e+06,2.9372002362e+07,2.6443864440e+00,5.4041851224e-03,1.4394661026e-22,1.5558888464e-24
1.1039716672e-03,2.2306693660e+06,1.4466209748e+04,0.0000000000e+00,-2.7691067992e+06,-1.7958053480e+04,-0.0000000000e+00,4.9998813022e+06,2.9372437979e+07,2.6444152175e+00,6.4850520526e-03,1.4394395466e-22,1.8670727737e-24
1.2879669451e-03,2.2306333036e+06,1.6877149469e+04,0.0000000000e+00,-2.7690620321e+06,-2.0950944169e+04,-0.0000000000e+00,4.9998384388e+06,2.9372953458e+07,2.6444492232e+00,7.5659353806e-03,1.4394081614e-22,2.1782600842e-24
1.4719622230e-03,2.2305916930e+06,1.9288045416e+04,0.0000000000e+00,-2.7690103775e+06,-2.3943780517e+04,-0.0000000000e+00,4.9997889809e+06,2.9373548800e+07,2.6444884616e+00,8.6468378621e-03,1.4393719463e-22,2.4894513480e-24
1.6559575008e-03,2.2305445341e+06,2.1698891377e+04,0.0000000000e+00,-2.7689518354e+06,-2.6936554813e+04,-0.0000000000e+00,4.9997329284e+06,2.9374224007e+07,2.6445329332e+00,9.7277622531e-03,1.4393309010e-22,2.8006471352e-24
